-7	45
-5	64
-6	76
-5	83
-3	81
-6	51
-6	9
-6	-37
-5	-62
-6	-69
-6	-67
-6	-64
-8	-58
-9	-38
-8	-10
-6	23
-5	57
-5	90
-5	95
-5	74
-6	51
-4	1
-5	-28
-7	-50
-7	-62
-7	-69
-7	-56
-6	-32
-5	6
-6	25
-6	52
-5	75
-6	85
-6	70
-5	37
-4	-2
-5	-42
-5	-61
-5	-67
-6	-60
-6	-31
-5	0
-5	27
-6	54
-7	69
-6	77
-7	62
-6	24
-5	-1
-7	-31
-8	-52
-7	-71
-7	-67
-7	-40
-6	-4
-5	26
-6	48
-7	64
-7	72
-7	56
-6	32
-5	-14
-5	-30
-6	-29
-7	-19
-8	-21
-6	-33
-6	-37
-6	-33
-6	-18
-6	-3
-5	16
-5	36
-6	61
-6	73
-6	59
-7	35
-5	10
-6	-11
-7	-29
-6	-55
-7	-65
-7	-58
-7	-31
-7	-7
-6	14
-6	37
-7	62
-6	76
-6	76
-7	53
-5	4
-6	-29
-7	-64
-8	-89
-7	-80
-6	-42
-4	7
-6	48
-7	81
-7	102
-8	81
-7	34
-5	-33
-5	-81
-6	-95
-7	-79
-3	-35
-4	42
-6	89
-7	109
-7	85
-5	29
-5	-41
-6	-74
-8	-97
-8	-91
-6	-38
-4	37
-6	70
-7	103
-7	100
-6	62
-5	-24
-6	-83
-8	-105
-8	-92
-5	-35
-4	32
-6	96
-8	134
-7	86
-7	-11
-7	-96
-7	-105
-6	-96
-4	-14
-5	95
-9	135
-9	115
-8	24
-7	-77
-7	-105
-5	-102
-3	-3
-5	82
-8	131
-7	111
-7	21
-6	-85
-4	-105
-2	-94
-4	1
-3	93
-11	136
-10	86
-8	-59
-6	-105
-2	-104
-3	-28
-3	72
-8	135
-10	111
-7	3
-6	-96
-5	-105
-2	-93
-5	19
-4	97
-8	125
-8	25
-7	-78
-4	-105
-1	-83
-5	23
-6	96
-8	112
-8	53
-7	-66
-5	-98
-3	-72
-6	6
-6	93
-7	86
-7	19
-8	-59
-5	-86
-3	-53
-5	22
-6	78
-8	81
-6	30
-7	-39
-6	-64
-5	-40
-7	11
-7	28
-5	16
-6	-2
-6	-9
-6	-5
-6	4
-5	5
-3	0
1	-2
11	-3
19	-4
25	-5
27	-5
19	0
11	2
2	1
-7	1
-16	3
-25	0
-29	3
-33	9
-38	15
-39	15
-41	15
-41	11
-39	3
-37	-3
-30	-5
-19	-5
-4	1
7	4
19	1
31	-3
39	-6
40	-3
39	1
35	3
27	4
9	2
-4	1
-18	1
-34	2
-44	2
-50	3
-55	11
-53	16
-47	15
-39	14
-25	11
-8	5
6	0
21	-3
30	-7
33	-7
36	-3
34	0
24	0
9	-4
-5	-9
-16	-9
-25	-4
-32	6
-30	11
-26	16
-18	20
-19	21
-16	18
-11	11
-2	0
7	-3
14	-3
20	-4
22	-6
24	-13
20	-12
10	-7
-3	-4
-22	3
-31	7
-37	12
-39	20
-38	19
-34	15
-24	7
-8	2
6	-1
17	-5
25	-8
29	-9
27	-8
24	-6
19	-2
4	2
-11	6
-22	11
-34	15
-47	17
-51	16
-47	18
-36	15
-22	7
-5	-3
9	-3
18	-5
24	-4
28	-5
26	-9
25	-9
18	-6
9	-5
-2	-1
-18	6
-29	10
-38	15
-44	16
-44	15
-38	18
-30	13
-17	8
0	1
12	-1
23	-1
30	-2
33	-5
31	-10
26	-10
15	-5
2	-1
-11	1
-26	8
-39	11
-48	11
-47	12
-45	18
-38	19
-25	9
-5	2
10	-2
21	-3
28	-2
32	-3
33	-6
27	-13
18	-9
5	-3
-11	2
-26	8
-37	13
-47	14
-50	14
-46	20
-40	22
-25	12
-7	0
13	-5
26	-8
32	-15
36	-17
32	-14
27	-9
19	-4
9	-3
-5	1
-17	5
-31	9
-43	12
-50	18
-52	21
-46	16
-34	10
-15	3
5	3
20	1
36	-3
42	-4
45	-3
41	-7
30	-9
16	-5
-8	2
-26	6
-45	13
-53	16
-58	21
-55	20
-42	18
-27	10
-11	0
4	0
18	1
29	-1
39	-4
42	-8
41	-8
36	-7
24	-6
7	-2
-16	3
-30	7
-41	9
-49	12
-51	14
-45	13
-32	10
-11	4
-1	0
7	-2
7	-2
